model,param,f_star_mean,f_star_std
er,2,0.6931,0.01858467110282017
er,2.5,0.7343999999999999,0.019303885619221865
er,3,0.7667999999999999,0.018378248012256244
er,4,0.8075999999999999,0.017556765077883767
er,5,0.8373999999999999,0.015402597183592123
er,6,0.8613999999999998,0.016125755796241006
er,8,0.8912000000000002,0.014161920773680399
er,10,0.9113000000000002,0.013686124360095524
ba,1,0.6621000000000002,0.020114422686221937
ba,2,0.7437,0.01968019308848368
ba,3,0.7882000000000001,0.017514565367145143
ba,4,0.8213000000000001,0.018420369160252976
ba,5,0.8428999999999999,0.016691015547293703
ba,7,0.8795999999999999,0.015027973915335373
ba,10,0.9059999999999999,0.01469693845669908
ws,0.01,0.9843000000000001,0.011683749398202629
ws,0.05,0.9743,0.012186467905016625
ws,0.1,0.9523999999999999,0.013425349157470722
ws,0.2,0.9184000000000002,0.01547384890710775
ws,0.4,0.8847000000000002,0.01564960063388202
ws,0.6,0.8723000000000001,0.015611213918206374
ws,0.8,0.8645999999999999,0.01525909564816999
ws,1.0,0.8601000000000001,0.014999666662962896
