model,param,overlap_mean,overlap_std,delta_f,tau_initial
er,2,0.45200000000000007,0.09620810776644555,0.06,0.559543228517539
er,2.5,0.546,0.08879189152169246,0.07999999999999999,0.6002116394853122
er,3,0.587,0.07490660852021001,0.08000000000000002,0.6310933403866824
er,4,0.6399999999999999,0.05403702434442517,0.07999999999999996,0.687505030917129
er,5,0.682,0.05325410782277738,0.06,0.7118553315986078
er,6,0.6659999999999999,0.054074023338383105,0.06,0.7349592874763878
er,8,0.7030000000000001,0.041605288125429435,0.050000000000000044,0.7547181926791423
er,10,0.708,0.03969886648255841,0.05999999999999994,0.7735723759659503
ba,1,0.281,0.051951900831442153,0.0,0.1975642033759934
ba,2,0.554,0.09210863151735561,0.09,0.4373374381343888
ba,3,0.734,0.039038442591886276,0.07,0.5036930930930932
ba,4,0.8009999999999999,0.044933283877321935,0.07,0.530557077077077
ba,5,0.834,0.03903844259188627,0.06,0.542623943943944
ba,7,0.875,0.04092676385936226,0.050000000000000044,0.5697182782782783
ba,10,0.8959999999999999,0.024166091947189147,0.040000000000000036,0.6035698898898899
ws,0.01,0.14200000000000002,0.05895761189193471,0.24,0.1290144449037607
ws,0.05,0.16600000000000004,0.06036555309114627,0.38,0.2508592829355937
ws,0.1,0.266,0.0678527818147495,0.32,0.36390569617018714
ws,0.2,0.4760000000000001,0.06280127387243034,0.18,0.5446818622752764
ws,0.4,0.6559999999999999,0.050833060108555345,0.09000000000000002,0.7052023093448783
ws,0.6,0.6759999999999999,0.06343500610861483,0.07,0.7325627625534323
ws,0.8,0.6819999999999998,0.05929586832149437,0.07,0.7338114162299465
ws,1.0,0.6639999999999999,0.06681317235396027,0.06999999999999995,0.7334800543758022
