model,param,delta_f,predicted,r2,slope,intercept,p_value
er,2.0,0.06,0.07418788907753254,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,2.5,0.07999999999999999,0.07289190718732314,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,3.0,0.08000000000000002,0.07159592529711374,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,4.0,0.07999999999999996,0.06900396151669495,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,5.0,0.06,0.06641199773627617,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,6.0,0.06,0.06382003395585738,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,8.0,0.050000000000000044,0.05863610639501979,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
er,10.0,0.05999999999999994,0.05345217883418221,0.3756706998201927,-0.002591963780418791,0.07937181663837012,0.10615770195238095
ba,1.0,0.0,0.05534653465346535,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,2.0,0.09,0.05504950495049505,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,3.0,0.07,0.05475247524752476,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,4.0,0.07,0.05445544554455447,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,5.0,0.06,0.05415841584158418,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,7.0,0.050000000000000044,0.05356435643564359,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ba,10.0,0.040000000000000036,0.05267326732673271,0.001024240355069957,-0.0002970297029702922,0.05564356435643564,0.9456965573762769
ws,0.01,0.24,0.28428919535462466,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.05,0.38,0.27319421401907923,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.1,0.32,0.25932548734964744,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.2,0.18,0.23158803401078393,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.4,0.09000000000000002,0.1761131273330568,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.6,0.07,0.12063822065532973,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,0.8,0.07,0.06516331397760261,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
ws,1.0,0.06999999999999995,0.009688407299875523,0.6898901690512321,-0.2773745333886355,0.287062940688511,0.010661865061136255
